"Configure","Configurar"
"Close","Cerrar"
"Module Information","Información del Módulo"
"Version Installed","Version Instalada"
"MageRocket","MageRocket"
"Information","Información"
"General Configuration","Configuración General"
"Enable Menu","Mostrar Menu"
"If yes, menu will be displayed on the admin navigation.","Mostrar menú de MageRocket"
"Attention: Updates are available. We recommend updating as soon as possible", "Atención: Hay actualizaciones disponibles. Recomendamos actualizar lo antes posible."
"Request New Feature","Solicitar Modificación"
"User Guide", "Manual del Usuario"